instnm,control,tuitionfee_in,tuitionfee_out,md_earn_wne_p10
University of Louisiana at Lafayette,1,9912,23640,39900
Northwestern State University of Louisiana,1,7922,18710,34300
University of Holy Cross,2,14180,14180,39500
Tulane University of Louisiana,2,54820,54820,61700
Saint Joseph's College of Maine,2,35650,35650,43400
Unity College,2,29160,29160,34100
St. Mary's College of Maryland,1,14806,30568,52200
Maryland Institute College of Art,2,48630,48630,37300
University of Maryland Eastern Shore,1,8302,18508,36600
Ner Israel Rabbinical College,2,12400,12400,.
Lesley University,2,27975,27975,38700
Emerson College,2,46852,46852,46600
Fort Lewis College,1,9040,19696,35200
Albertus Magnus College,2,32060,32060,51200
Metropolitan State University of Denver,1,7666,20847,40200
University of Hartford,2,40694,40694,47800
Regis University,2,36810,36810,56400
Rocky Mountain College of Art and Design,3,19020,19020,33000
Connecticut College,2,54820,54820,54900
Eastern Connecticut State University,1,11356,23864,46400
Fairfield University,2,48350,48350,72100
Bethune-Cookman University,2,14814,14814,29200
Wesley College,2,26406,26406,42900
Carlos Albizu University-Miami,2,12444,12444,30200
South University-West Palm Beach,3,17014,17014,33400
Eckerd College,2,44540,44540,42200
The Baptist College of Florida,2,11400,11400,31800
Jacksonville University,2,36670,36670,50500
University of North Florida,1,6394,20798,43200
Warner University,2,21694,21694,38600
St. John Vianney College Seminary,2,21000,21000,.
Emory University,2,51306,51306,66000
Georgia Institute of Technology-Main Campus,1,12424,33020,79100
Wesleyan College,2,23000,23000,29900
University of Hawaii at Hilo,1,7720,20680,37900
Piedmont College,2,25920,25920,40600
Reinhardt University,2,23300,23300,36600
Shorter University,2,22370,22370,43200
Life University,2,12696,12696,35600
University of Idaho,1,7864,25500,41900
Lewis-Clark State College,1,6618,19236,34600
Brigham Young University-Idaho,2,4118,4118,42700
Chicago State University,1,10163,17123,33800
Elmhurst College,2,37055,37055,48300
School of the Art Institute of Chicago,2,49310,49310,33500
Aurora University,2,24260,24260,42700
Illinois Institute of Technology,2,47646,47646,69100
MacMurray College,2,27710,27710,36200
