UNITID,INSTNM,STABBR,LONGITUD,LATITUDE
462336,International College of Beauty Arts & Sciences,CA,-118.273227,34.148057
462354,John Paul the Great Catholic University,CA,-117.082401,33.12085
467368,Carrington College-Pomona,CA,-117.803875,34.06302
468769,CET-Soledad,CA,-121.316599,36.41456
468848,United Education Institute-UEI College San Marcos,CA,-117.118524,33.131561
468909,United Education Institute-Anaheim,CA,-117.922969,33.851393
469957,Aveda Institute-Los Angeles,CA,-118.446566,34.062797
470038,UEI College-Riverside,CA,-117.351755,33.975392
474863,Los Angeles Pacific University,CA,-117.827484,34.110723
475097,International Culinary Center-California,CA,-121.961476,37.293627
475228,The Santa Barbara and Ventura Colleges of Law at Santa Barbara,CA,-119.70516,34.424542
475237,The University of America,CA,-117.167871,33.519293
475282,Marian Health Careers Center-Van Nuys Campus,CA,-118.465561,34.177483
475635,Beverly Hills Design Institute,CA,-118.375621,34.06463
475705,Annenberg School of Nursing,CA,-118.553851,34.200825
476513,Flair Beauty College,CA,-118.550015,34.414463
476595,Medical Allied Career Center,CA,-118.062402,33.91871
476780,Diamond Beauty College,CA,-118.046711,34.062971
476799,Unitek College,CA,-122.455603,37.65642
476911,SAE Institute of Technology-Los Angeles,CA,-118.336861,34.0904
478634,California College San Diego,CA,-117.160658,33.138303
479424,Unitek College,CA,-122.116059,37.661039
479974,Advance Beauty Techs Academy,CA,-117.517655,33.884074
479992,Brand College,CA,-118.265551,34.15799
480000,Hinton Barber and Beauty College,CA,-122.245384,38.109629
480019,Advanced Career Institute,CA,-119.38533,36.344669
480204,Platt College-Riverside,CA,-117.298365,33.932923
480471,United Education Institute-UEI College Stockton,CA,-121.308461,37.99756
480781,California Miramar University,CA,-117.11851,32.77942
481058,Grace Mission University,CA,-117.958208,33.867663
481128,Santa Ana Beauty College,CA,-117.895913,33.759423
481182,Ukiah Adult School,CA,-123.215034,39.160947
481191,Riverside County Office of Education-School of Career Education,CA,-117.294699,33.91733
481289,Xavier College School of Nursing,CA,-121.293267,37.966315
481298,Lawrence & Company College of Cosmetology,CA,-119.637371,36.33339
481386,California Career Institute,CA,-117.960413,33.786223
481395,Cosmo Factory Cosmetology Academy,CA,-122.023723,36.967956
481474,J D Academy of Salon and Spa,CA,-121.995828,37.818164
481960,InterCoast Colleges-Fairfield,CA,-122.147995,38.212134
482060,Milan Institute-Merced,CA,-120.481067,37.322518
482291,UEI College-Bakersfield,CA,-119.049925,35.381617
482431,DeVry University-California,CA,-117.5876,34.068481
483009,American College of Healthcare and Technology,CA,-118.224906,33.978807
483221,Learnet Academy Inc,CA,-118.293165,34.063934
483230,The Fab School,CA,-117.555168,34.079866
483373,Integrity College of Health,CA,-118.131722,34.171252
483443,California Technical Academy,CA,-117.339245,34.002717
483586,California International Business University,CA,-117.168019,32.718063
483610,Sutter Beauty College,CA,-121.633122,39.131845
483878,Bay Area Medical Academy,CA,-122.406318,37.790775
483957,Lawrence & Company College of Cosmetology,CA,-119.611752,36.570318
484002,High Desert Medical College,CA,-121.655732,36.669633
484206,The Salon Professional Academy-San Jose,CA,-121.989475,37.292025
484233,Tri-Community Adult Education,CA,-117.887096,34.104391
484367,North-West College-Anaheim,CA,-117.959766,33.839313
484376,North-West College-Long Beach,CA,-118.14854,33.801894
484631,University of Phoenix-California,CA,-117.58377,34.065748
484862,University of West Los Angeles,CA,-118.36957,33.947341
485263,California College San Diego,CA,-117.166966,32.835221
485403,High Tech High Graduate School of Education,CA,-117.217661,32.732001
485412,Coachella Valley Beauty College-Hemet,CA,-117.010783,33.745675
485467,Carrington College-Administrative Office,CA,-121.371383,38.556104
485494,Associated Barber College of San Diego,CA,-117.159908,32.719318
485500,ABCO Technology,CA,-118.369774,33.932121
485519,International Sports Sciences Association,CA,-119.486417,34.38768
485546,California Intercontinental University,CA,-117.850961,33.696413
485573,Universal Healthcare Careers College,CA,-118.274771,34.0499
486099,GDS Institute,CA,-118.224776,33.966151
486123,Theatre of Arts,CA,-118.338144,34.0984
486141,Westchester College of Nursing & Allied Health,CA,-118.396511,33.95487
486248,ZMS,CA,-118.209424,34.047305
486372,San Francisco Film School,CA,-122.401124,37.791643
486433,Presidio Graduate School,CA,-122.475292,37.80026
486488,California Jazz Conservatory,CA,-122.268878,37.871235
486497,California Barber and Beauty College,CA,-117.0814,32.757282
486558,Aviation Institute of Maintenance,CA,-121.92135,37.468594
486965,Hussian College-Los Angeles,CA,-118.26069,34.054877
487597,Universal Technical Institute-Southern California,CA,-118.145393,33.826017
487649,California Institute of Advanced Management,CA,-118.15055,34.082467
487773,Butte County Regional Occupational Program,CA,-121.804024,39.715283
487995,Alhambra Medical University,CA,-118.148684,34.080181
488031,Abraham Lincoln University,CA,-118.256726,34.146294
488192,DeHart Technical School,CA,-120.997781,37.71339
488387,Claremont Lincoln University,CA,-117.717974,34.094143
488411,Hoss Lee Academy,CA,-121.289487,38.721897
488572,California Health Sciences University,CA,-119.701977,36.832466
488785,University of Saint Katherine,CA,-117.196552,33.151283
488800,Teachers College of San Joaquin,CA,-121.229911,37.90797
488846,University of the People,CA,-118.13353,34.141906
489201,Clovis Community College,CA,-119.731261,36.88686
489335,Institute of Buddhist Studies,CA,-122.266105,37.866732
489353,Chamberlain University-California,CA,-121.278258,38.596193
489371,Spartan College of Aeronautics and Technology,CA,-117.408335,33.990127
489760,Milan Institute-Bakersfield West,CA,-119.038111,35.388152
489858,West Coast University-Center for Graduate Studies,CA,-118.29131,34.081505
490045,Presbyterian Theological Seminary in America,CA,-118.047065,33.88856
490063,Southern States University,CA,-117.201297,32.767544
490081,America Evangelical University,CA,-118.308661,34.041239
490124,Los Angeles Academy of Figurative Art,CA,-118.5021,34.208209
490133,Westcliff University,CA,-117.835761,33.697112
